,Unnamed: 0,text,embeddings,distances
234,234,"9 December – Astronomers report using the infrared capabilities of the James Webb Space Telescope to find 100 of the smallest asteroids ever detected in the main belt, some measuring just 10 metres in diameter.","[ 0.00926987  0.00118044 -0.00061318 ... -0.00146178 -0.00675205
 -0.01258245]",0.22921045308742471
202,202,"9 October – Pham Tiep, a professor of mathematics, solves two long-standing problems, the Height Zero Conjecture and the Deligne-Lusztig theory. Mathematicians believe that it may lead to advances in science and technology.","[ 0.01390376 -0.0157332   0.01290773 ...  0.00614896 -0.00257308
 -0.03114116]",0.22998821667082392
216,216,"23 October – Physicists observe a ""black hole triple"" for the first time.","[-0.0080313   0.00645454  0.00413694 ...  0.0193538   0.00257002
 -0.01266651]",0.23005192666037366
76,76,"12 March – Geologists identify a 2.4-million-year cycle in deep-sea sedimentary data, caused by an orbital interaction between Earth and Mars.","[-0.00171485 -0.01112082  0.01568049 ...  0.00977545 -0.01370552
 -0.02974389]",0.2311153468596997
37,37,"26 January – Astronomers report the detection of water vapor in the atmosphere of GJ 9827 d, an exoplanet about twice the size of Earth.","[ 0.01672438  0.01045596 -0.01551322 ... -0.00994057 -0.00544058
 -0.00075537]",0.23127972794645113
132,132,"23 May – Astronomers using TESS report the discovery of Gliese 12 b, a Venus-sized exoplanet located 40 light-years away, with an equilibrium temperature of 315 K (42 °C; 107 °F). This makes it the nearest, transiting, temperate, Earth-sized world located to date.","[ 0.01343192 -0.00688665 -0.01247343 ... -0.00189563 -0.01449544
 -0.04096538]",0.23140010412602086
3,3,"5 January – Scientists report that newborn galaxies in the very early universe were ""banana""-shaped, much to the surprise of researchers.","[ 0.00761897  0.00789294  0.00242822 ...  0.02596189  0.00015411
 -0.01728619]",0.23175970952224512
210,210,"15 October – Physicists and Researchers from the Institute of Nuclear Physics of the Polish Academy of Sciences achieve the first coherent picture of atomic nuclei made from only quarks and gluons, fusing this picture with the model of nuclei made from protons and neutrons.","[-0.01195761  0.00389442  0.00283884 ...  0.01722377 -0.0007921
 -0.02035537]",0.2318008863077644
159,159,"15 July – China announces a plan to visit the asteroid 2015 XF261 in 2029. Similar to NASA's Double Asteroid Redirection Test (DART), a probe will impact the body at a speed of 10 kilometres per second, and the resulting changes to its orbit will be studied. This will occur when the asteroid is within seven million kilometres of Earth.","[ 0.00297892 -0.01554398 -0.01203099 ...  0.00240247 -0.01647988
 -0.01513707]",0.23187394940574169
44,44,2 February – Scientists report a possible way of solving the three-body problem; a notable problem of particular importance to physics and classical mechanics.,"[ 0.00266784  0.0154954  -0.01748881 ...  0.01518975  0.00434895
 -0.02353547]",0.23191228170532352
